idx,className,methodName,time0,time1,childRefs
135,java.util.stream.AbstractPipeline,evaluate,4.0,0.0,[134]
136,java.util.stream.AbstractPipeline,evaluateToArrayNode,8.0,0.0,[135]
137,java.util.stream.ReferencePipeline,toArray,8.0,0.0,[136]
138,java.util.stream.ReferencePipeline,toArray,8.0,0.0,[137]
139,java.util.stream.ReferencePipeline,toList,8.0,0.0,[138]
140,io.github.tt432.eyelib.molang.mapping.api.VariantSelector,selectQueryVariant,8.0,0.0,[139]
141,io.github.tt432.eyelib.molang.mapping.api.MolangMappingTree,selectQueryVariant,8.0,0.0,[140]
142,io.github.tt432.eyelib.molang.MolangScope,get,4.0,0.0,[]
143,io.github.tt432.eyelib.molang.MolangScope,get,4.0,0.0,[142]
144,io.github.tt432.eyelib.molang.compiler.MolangRuntimeSupport,resolveMemberAccess,12.0,0.0,[141;143]
145,io.github.tt432.eyelib.molang.compiler.Molang$Expr$ae77729c/0x0000015e4e1c5000,evaluate,12.0,0.0,[144]
146,java.lang.invoke.LambdaForm$DMH/0x0000015e4c218000,invokeVirtual,12.0,0.0,[145]
147,java.lang.invoke.LambdaForm$MH/0x0000015e4e439000,invoke,12.0,0.0,[146]
148,java.lang.invoke.LambdaForm$MH/0x0000015e4e028400,invoke_MT,12.0,0.0,[147]
149,io.github.tt432.eyelib.molang.compiler.MolangCompilerImpl$HiddenMolangExpression,evaluate,12.0,0.0,[148]
150,io.github.tt432.eyelib.molang.compiler.CompiledMolangExpression,apply,12.0,0.0,[149]
151,io.github.tt432.eyelib.molang.MolangValue$$Lambda$6805/0x0000015e4cecb5a0,apply,12.0,0.0,[150]
152,io.github.tt432.eyelib.molang.MolangValue,getObject,12.0,0.0,[151]
153,io.github.tt432.eyelib.molang.MolangValue,eval,16.0,0.0,[152]
154,io.github.tt432.eyelib.particle.runtime.bedrock.component.particle.initial.ParticleInitialSpeed,onStart,16.0,0.0,[153]
155,java.util.stream.Sink$ChainedReference,end,4.0,0.0,[]
156,java.util.stream.AbstractPipeline,copyInto,4.0,0.0,[155]
157,java.util.stream.AbstractPipeline,wrapAndCopyInto,4.0,0.0,[156]
158,java.util.stream.AbstractPipeline,evaluate,4.0,0.0,[157]
159,java.util.stream.AbstractPipeline,evaluateToArrayNode,4.0,0.0,[158]
160,java.util.stream.ReferencePipeline,toArray,4.0,0.0,[159]
161,java.util.stream.ReferencePipeline,toArray,4.0,0.0,[160]
162,java.util.stream.ReferencePipeline,toList,4.0,0.0,[161]
163,java.util.stream.Sink$ChainedReference,begin,4.0,0.0,[]
164,java.util.stream.AbstractPipeline,copyInto,4.0,0.0,[163]
165,java.util.stream.AbstractPipeline,wrapAndCopyInto,4.0,0.0,[164]
166,java.util.stream.ReduceOps$ReduceOp,evaluateSequential,4.0,0.0,[165]
167,java.util.stream.AbstractPipeline,evaluate,4.0,0.0,[166]
168,java.util.stream.IntPipeline,reduce,4.0,0.0,[167]
169,java.util.stream.IntPipeline,max,4.0,0.0,[168]
170,io.github.tt432.eyelib.molang.mapping.api.VariantSelector,selectQueryVariant,8.0,0.0,[162;169]
171,io.github.tt432.eyelib.molang.mapping.api.MolangMappingTree,selectQueryVariant,8.0,0.0,[170]
172,io.github.tt432.eyelib.molang.compiler.MolangRuntimeSupport,resolveCall,16.0,0.0,[171]
173,io.github.tt432.eyelib.molang.compiler.Molang$Expr$29020a4f/0x0000015e4e1c4c00,evaluate,16.0,0.0,[172]
174,java.lang.invoke.LambdaForm$DMH/0x0000015e4c218000,invokeVirtual,20.0,0.0,[173]
175,java.lang.invoke.LambdaForm$MH/0x0000015e4e42c800,invoke,20.0,0.0,[174]
176,java.lang.invoke.LambdaForm$MH/0x0000015e4e028400,invoke_MT,20.0,0.0,[175]
177,io.github.tt432.eyelib.molang.compiler.MolangCompilerImpl$HiddenMolangExpression,evaluate,20.0,0.0,[176]
178,io.github.tt432.eyelib.molang.compiler.CompiledMolangExpression,apply,20.0,0.0,[177]
179,io.github.tt432.eyelib.molang.MolangValue$$Lambda$6805/0x0000015e4cecb5a0,apply,20.0,0.0,[178]
180,io.github.tt432.eyelib.molang.MolangValue,getObject,20.0,0.0,[179]
181,io.github.tt432.eyelib.molang.MolangValue,eval,20.0,0.0,[180]
182,io.github.tt432.eyelib.particle.runtime.bedrock.component.particle.initial.ParticleInitialSpin,onStart,20.0,0.0,[181]
183,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance,lambda$new$2,36.0,0.0,[154;182]
184,io.github.tt432.eyelib.particle.runtime.bedrock.BedrockParticleInstance$$Lambda$11718/0x0000015e4e1d5d90,accept,36.0,0.0,[183]
185,java.lang.Iterable,forEach,36.0,0.0,[184]
186,io.github.tt432.eyelib.molang.compiler.frontend.HandwrittenMolangAstParserFrontend$Tokenizer,tokenize,4.0,0.0,[]
187,io.github.tt432.eyelib.molang.compiler.frontend.HandwrittenMolangAstParserFrontend$Parser,<init>,4.0,0.0,[186]
188,io.github.tt432.eyelib.molang.compiler.frontend.HandwrittenMolangAstParserFrontend,parseExprSetAst,4.0,0.0,[187]
189,io.github.tt432.eyelib.molang.compiler.MolangConstantExpressionEvaluator,tryEvaluate,4.0,0.0,[188]
190,io.github.tt432.eyelib.molang.MolangValue,resolveFunction,4.0,0.0,[189]
191,io.github.tt432.eyelib.molang.MolangValue,<init>,4.0,0.0,[190]
192,io.github.tt432.eyelib.molang.MolangValue,lambda$static$3,4.0,0.0,[191]
193,io.github.tt432.eyelib.molang.MolangValue$$Lambda$5161/0x0000015e4cca2840,apply,4.0,0.0,[192]
194,com.mojang.datafixers.util.Pair,mapFirst,4.0,0.0,[193]
195,com.mojang.serialization.Decoder$2,lambda$decode$0,4.0,0.0,[194]
196,com.mojang.serialization.Decoder$2$$Lambda$4503/0x0000015e4cb5e000,apply,4.0,0.0,[195]
197,com.mojang.datafixers.util.Either$Left,mapBoth,4.0,0.0,[196]
198,com.mojang.serialization.DataResult,map,4.0,0.0,[197]
199,com.mojang.serialization.Decoder$2,decode,4.0,0.0,[198]
200,com.mojang.serialization.Codec$2,decode,4.0,0.0,[199]
201,com.mojang.serialization.Decoder$2,decode,4.0,0.0,[200]
202,com.mojang.serialization.Codec$2,decode,4.0,0.0,[201]
203,com.mojang.serialization.Codec$16,read,4.0,0.0,[]
204,com.mojang.serialization.codecs.PrimitiveCodec,decode,4.0,0.0,[203]
205,com.mojang.serialization.Decoder,parse,4.0,0.0,[204]
206,com.mojang.serialization.codecs.BaseMapCodec,lambda$decode$2,4.0,0.0,[205]
207,com.mojang.serialization.codecs.BaseMapCodec$$Lambda$6167/0x0000015e4ce109d8,apply,4.0,0.0,[206]
208,java.util.stream.ReduceOps$1ReducingSink,accept,4.0,0.0,[207]
209,java.util.stream.ReferencePipeline$3$1,accept,4.0,0.0,[208]
210,java.util.Iterator,forEachRemaining,8.0,0.0,[209]
211,java.util.Spliterators$IteratorSpliterator,forEachRemaining,8.0,0.0,[210]
212,java.util.Spliterators$IteratorSpliterator,estimateSize,4.0,0.0,[]
213,java.util.Spliterator,getExactSizeIfKnown,4.0,0.0,[212]
214,java.util.stream.AbstractPipeline,copyInto,12.0,0.0,[211;213]
215,java.util.stream.AbstractPipeline,wrapAndCopyInto,12.0,0.0,[214]
216,java.util.stream.ReduceOps$ReduceOp,evaluateSequential,12.0,0.0,[215]
217,java.util.stream.AbstractPipeline,evaluate,12.0,0.0,[216]
218,java.util.stream.ReferencePipeline,reduce,12.0,0.0,[217]
219,com.mojang.serialization.codecs.BaseMapCodec,decode,12.0,0.0,[218]
220,com.mojang.serialization.codecs.UnboundedMapCodec,lambda$decode$0,12.0,0.0,[219]
221,com.mojang.serialization.codecs.UnboundedMapCodec$$Lambda$6151/0x0000015e4ce0aff8,apply,12.0,0.0,[220]
222,com.mojang.serialization.DataResult,lambda$flatMap$11,12.0,0.0,[221]
223,com.mojang.serialization.DataResult$$Lambda$2004/0x0000015e4c763920,apply,12.0,0.0,[222]
224,com.mojang.datafixers.util.Either$Left,map,12.0,0.0,[223]
225,com.mojang.serialization.DataResult,flatMap,12.0,0.0,[224]
226,com.mojang.serialization.codecs.UnboundedMapCodec,decode,12.0,0.0,[225]
227,com.mojang.serialization.Decoder$2,decode,12.0,0.0,[226]
228,com.mojang.serialization.Codec$2,decode,12.0,0.0,[227]
229,com.mojang.serialization.Decoder,parse,12.0,0.0,[228]
230,com.mojang.serialization.codecs.FieldDecoder,decode,12.0,0.0,[229]
231,com.mojang.serialization.MapCodec$1,decode,12.0,0.0,[230]
232,com.mojang.serialization.codecs.RecordCodecBuilder$Instance$3,decode,12.0,0.0,[231]
233,com.mojang.serialization.codecs.RecordCodecBuilder$2,decode,12.0,0.0,[232]
234,com.mojang.serialization.MapDecoder,lambda$compressedDecode$1,12.0,0.0,[233]
235,com.mojang.serialization.MapDecoder$$Lambda$6067/0x0000015e4cdce928,apply,12.0,0.0,[234]
236,com.mojang.serialization.DataResult,lambda$flatMap$11,12.0,0.0,[235]
